index_op;trans_date_trans_time;merchant;category;amt;city;state;latitude;longitude;city_pop;job;dob;trans_num;merch_lat;merch_long;is_fraud
1028;2019-01-04T09:52:59.000;Cartwright-Harris;grocery_pos;83.67;Saint Louis;MO;386.171;-904.504;927396;Occupational hygienist;1960-03-12T00:00:00.000;29eaf4494514ceead9f48eb63067fabc;39.503.558;-90.400.664;0
1029;2019-01-04T10:08:40.000;Kilback LLC;grocery_pos;93.97;Rocky Mount;MO;382.911;-927.059;1847;Tax inspector;1988-10-26T00:00:00.000;53c33d3d1c77592e9f7b4b7bc093c1c0;39.114.222;-93.575.048;0
1030;2019-01-04T10:14:30.000;Berge LLC;gas_transport;110.12;Rock Springs;WY;41.606;-109.23;27971;Music therapist;1984-08-01T00:00:00.000;d7d489e21bb041a8852b1cd26e9f5510;4.133.683;-110.107.243;0
1031;2019-01-04T10:31:41.000;Moen, Reinger and Murphy;grocery_pos;93.01;Ashford;WA;467.531;-1.219.898;759;Video editor;1956-09-14T00:00:00.000;cc3401c372975396a9f96194cca95806;47.543.686;-12.175.136;0
1032;2019-01-04T10:37:07.000;Rohan, White and Aufderh;misc_net;1.68;Greenview;CA;415.403;-1.229.366;308;Call centre manager;1958-09-20T00:00:00.000;67166a346dc968676fad2a6d002220ae;4.056.825;-12.313.789;0
1033;2019-01-04T10:40:58.000;Koepp-Witting;grocery_pos;228.48;Superior;AZ;332.887;-1.110.985;2872;Petroleum engineer;1987-10-28T00:00:00.000;53b1dad08f45ffb02f9ac2dc2158c338;34.140.777;-111.076.027;0
1034;2019-01-04T10:51:14.000;Kiehn-Emmerich;grocery_pos;114.81;Wendel;CA;403.406;-1.202.824;104;Teacher, adult education;1989-08-16T00:00:00.000;2b9e7c11bebea49611b67ed38af72b75;40.488.391;-120.184.101;0
1035;2019-01-04T11:09:29.000;Parisian and Sons;gas_transport;40.81;Llano;NM;361.486;-1.056.648;247;Architectural technologist;1961-10-24T00:00:00.000;73a7e6c061f7db6cbc4f7a6dbb87e16f;35.431.432;-105.674.671;0
1036;2019-01-04T11:13:12.000;Rohan, White and Aufderh;misc_net;26.92;June Lake;CA;377.773;-1.190.825;633;Health service manager;1927-09-09T00:00:00.000;5a5775d5112a3bdbc81f1cc2d56d0484;37.326.791;-120.008.798;0
1037;2019-01-04T11:15:00.000;Paucek-Wiz;grocery_net;112.59;Honokaa;HI;200.827;-155.488;4878;Physiotherapist;1966-12-03T00:00:00.000;bbaabbf6936a5de79a010c0b3fcdbdcc;20.546.477;-155.498.953;0
1038;2019-01-04T12:09:17.000;Dietrich-Fadel;health_fitness;14.76;Burlington;WA;484.786;-1.223.345;14871;Public house manager;1974-03-10T00:00:00.000;40d4e97bf3b4fc6a41696211668f4fed;47.977.549;-122.404.841;0
1039;2019-01-04T12:17:04.000;Waelchi Inc;kids_pets;110.17;Norwalk;CA;339.056;-1.180.818;105549;Firefighter;1973-09-22T00:00:00.000;8b1c4faa4c551a7492182a13753a4793;34.410.501;-117.514.771;0
1040;2019-01-04T12:40:39.000;Lynch-Wisozk;home;43.64;Jelm;WY;410.539;-1.060.763;100;Public librarian;1974-04-16T00:00:00.000;ab8cd1b5aa0fd62a0debb1d36de6e973;40.189.875;-105.120.651;0
1041;2019-01-04T12:40:49.000;Schuppe LLC;entertainment;47.17;Holstein;NE;404.542;-986.538;331;Telecommunications researcher;1950-08-19T00:00:00.000;a625a2bd996908783dbd86cfa687b90e;39.576.906;-98.122.252;0
1042;2019-01-04T12:42:12.000;O'Keefe-Wisoky;food_dining;13.78;Redford;MO;373.272;-910.243;241;Investment analyst;1974-10-27T00:00:00.000;6e78a41267f65c853d3ad991d31a16b7;36.916.473;-916.387;0
1043;2019-01-04T12:49:00.000;Little Lt;kids_pets;2.93;Carlotta;CA;40.507;-1.239.743;1139;Therapist, occupational;1951-01-15T00:00:00.000;bb02a68eabfbcf97576f6599eb1c9fd8;40.428.489;-124.749.785;0
1044;2019-01-04T12:52:19.000;Denesik and Sons;shopping_pos;3.02;Thompson;UT;389.999;-109.615;46;Surveyor, minerals;1987-04-23T00:00:00.000;3213d71caed196af28355cb88cf14fe1;3.985.294;-110.053.782;0
1045;2019-01-04T12:54:16.000;Fritsch and Sons;health_fitness;14.58;Norwalk;CA;339.056;-1.180.818;105549;Firefighter;1973-09-22T00:00:00.000;53b53ea33c1ce034928d09dacbcba72d;33.553.751;-118.891.364;0
1046;2019-01-04T12:54:51.000;Weimann-Lockman;kids_pets;33.06;Burlington;WA;484.786;-1.223.345;14871;Public house manager;1974-03-10T00:00:00.000;3457eef2c480f26100d317f120a0cb71;47.784.546;-122.625.853;0
1047;2019-01-04T12:57:10.000;Marvin-Lin;personal_care;61.05;Espanola;NM;359.866;-1.060.654;18408;Historic buildings inspector/conservation officer;1972-07-18T00:00:00.000;8d43c0bd156f3459ada2a3678e3e058c;35.286.133;-106.567.606;0
1048;2019-01-04T13:04:19.000;Romaguera, Wehner and Tromp;kids_pets;73.03;Glendale;CA;341.556;-1.182.322;172817;Advertising account planner;1982-07-30T00:00:00.000;a6e0ec6d64f6f963c97e2ba16b498a01;33.630.353;-118.095.852;0
1049;2019-01-04T13:15:32.000;Bins-Howell;personal_care;94;Wheaton;MO;367.651;-940.492;760;Production manager;1985-08-31T00:00:00.000;d3188d14848b0e8aacfbfb7cc7359455;37.517.757;-94.873.926;0
1050;2019-01-04T13:20:04.000;Swaniawski, Nitzsche and Welch;health_fitness;30.25;Browning;MO;40.029;-931.607;602;Cytogeneticist;1954-07-14T00:00:00.000;9fd5a650bcb6a6a3972e57d4f9bbeaf1;40.838.796;-94.020.826;0
1051;2019-01-04T13:28:19.000;Bernhard-Lesch;food_dining;5.69;Conway;WA;48.34;-1.223.456;85;Research officer, political party;1984-09-01T00:00:00.000;a5a950f01c10a6e808499ab2a804c2e5;47.453.278;-12.144.884;0
1052;2019-01-04T13:29:47.000;Leannon-W;food_dining;10.09;Norwalk;CA;339.056;-1.180.818;105549;Firefighter;1973-09-22T00:00:00.000;10ea75411103e8811cadb9df7ba80d48;34.067.079;-118.226.043;0
1053;2019-01-04T13:33:51.000;Watsica, Haag and Considine;shopping_pos;5.42;Rocky Mount;MO;382.911;-927.059;1847;Tax inspector;1988-10-26T00:00:00.000;ff65a2e344980a1d44aef0837f805dac;39.268.664;-91.994.726;0
1054;2019-01-04T13:40:44.000;Streich Lt;home;115.86;Hawthorne;CA;339.143;-1.183.493;93193;Editor, magazine features;1995-04-19T00:00:00.000;1db82ed274b7f21357dc626382f984ea;33.080.753;-117.625.275;0
1055;2019-01-04T13:42:13.000;Watsica, Haag and Considine;shopping_pos;1.17;Conway;WA;48.34;-1.223.456;85;Research officer, political party;1984-09-01T00:00:00.000;7ba4d406644eb9891357f3e489dc0b0c;48.057.243;-123.087.617;0
1056;2019-01-04T13:43:41.000;Langworth LLC;personal_care;64.71;Bay City;OR;455.197;-1.238.761;1530;Colour technologist;1986-11-24T00:00:00.000;032a1f2dc0c1c9d169273e0dacddcd5f;44.930.032;-123.318.153;0
1057;2019-01-04T13:44:39.000;Dickinson Lt;personal_care;1.36;Ballwin;MO;38.577;-905.255;92608;Engineer, communications;2001-07-26T00:00:00.000;8e084a0670cddbcf6133bd7dcb3ff0fd;38.197.028;-9.070.911;0
1058;2019-01-04T13:52:21.000;Bins-Howell;personal_care;44.78;Cascade Locks;OR;45.671;-1.218.686;1288;Barrister;1936-05-01T00:00:00.000;8249516327bcb57e10522c6d80fdd90a;44.730.311;-122.064.423;0
1059;2019-01-04T13:52:31.000;Stoltenberg-Beatty;shopping_pos;13.66;Espanola;NM;359.866;-1.060.654;18408;Historic buildings inspector/conservation officer;1972-07-18T00:00:00.000;56795587a4f67ec4bc2d26f6d40080c8;36.199.677;-10.678.779;0
1060;2019-01-04T13:53:14.000;Stanton, Jakubowski and Baumbach;shopping_net;5.88;Ruidoso;NM;333.305;-1.056.933;8874;Licensed conveyancer;2000-08-16T00:00:00.000;cd6c925ce17f526da8772ed6994dd9a0;34.314.516;-106.032.337;0
1061;2019-01-04T13:58:46.000;Monahan-Mo;personal_care;53.11;Blairstown;MO;385.319;-939.221;467;Agricultural consultant;1950-05-27T00:00:00.000;8603f9386fe36dd2ced2d9cecc1dbcb9;37.566.138;-93.744.861;0
1062;2019-01-04T13:59:55.000;Pollich LLC;home;117.11;Fort Washakie;WY;430.048;-1.088.964;1645;Information systems manager;1986-02-17T00:00:00.000;79a66e4565825e428e2e098ffd6b9969;43.332.599;-108.318.444;0
1063;2019-01-04T14:06:11.000;Yost-Rogahn;personal_care;51.21;Orient;WA;488.878;-1.182.105;149;Special educational needs teacher;1978-06-21T00:00:00.000;d3b4cb702882a527fdee03837d9fa3d7;49.568.006;-117.707.565;0
1064;2019-01-04T14:11:09.000;Effertz LLC;entertainment;2.77;Kirtland Afb;NM;350.203;-1.065.503;310;Surveyor, land/geomatics;1978-09-30T00:00:00.000;e8b70ea18e0f4c4b0c72ad6ffb8d2e32;34.111.887;-105.794.916;0
1065;2019-01-04T14:14:59.000;Gulgowski LLC;home;43.31;Santa Monica;CA;340.287;-1.184.924;92043;Civil engineer, contracting;1961-04-25T00:00:00.000;55be029b08c75e04be0b8a4238653e44;34.243.894;-118.499.917;0
1066;2019-01-04T14:25:24.000;Upton PLC;entertainment;43.64;Hatch;UT;377.175;-1.124.777;258;Geoscientist;1961-11-24T00:00:00.000;502edea8eac1dc0818d8ff496c276fc2;38.703.031;-112.790.666;0
1067;2019-01-04T14:28:12.000;Larson-Moen;entertainment;187.47;Ballwin;MO;38.577;-905.255;92608;Engineer, communications;2001-07-26T00:00:00.000;8cf4eb53c79fcbee54d3df62bbc54767;38.191.041;-90.579.463;0
1068;2019-01-04T14:30:44.000;Johnston-Caspe;travel;2.58;Claremont;CA;341.092;-1.177.183;35705;Wellsite geologist;1956-05-15T00:00:00.000;16474858df79538509469e288fb1b648;34.310.173;-117.995.683;0
1069;2019-01-04T14:48:55.000;Dietrich-Fadel;health_fitness;14.01;Weeping Water;NE;408.731;-961.528;1517;Dealer;1951-11-08T00:00:00.000;50bfd40bc9757a6a4f2c08fed8fb1333;41.328.107;-95.382.571;0
1070;2019-01-04T14:49:34.000;Hoppe-Parisian;kids_pets;76.7;Santa Monica;CA;340.287;-1.184.924;92043;Civil engineer, contracting;1961-04-25T00:00:00.000;96c11b8e5aef268030a21c1c53d66ad8;33.231.752;-118.376.154;0
1071;2019-01-04T14:50:12.000;Predovic Inc;shopping_net;7.12;Thompson;UT;389.999;-109.615;46;Surveyor, minerals;1987-04-23T00:00:00.000;b57285467ccab7ed45b4426f25d00756;38.137.421;-110.081.134;0
1072;2019-01-04T14:56:59.000;Friesen-Ortiz;personal_care;56.34;Aurora;CO;396.662;-104.835;389246;Scientist, marine;1969-12-12T00:00:00.000;1045e12e3a76fe373a8958d95459a5bb;39.583.131;-104.769.807;0
1073;2019-01-04T15:01:38.000;Jast and Sons;food_dining;2.69;Redford;MO;373.272;-910.243;241;Investment analyst;1974-10-27T00:00:00.000;0221e7340cba1610c80989859b1f209e;37.380.309;-90.625.818;0
1074;2019-01-04T15:02:53.000;Champlin and Sons;home;64.82;Grenada;CA;416.125;-1.225.258;589;Systems analyst;1945-12-21T00:00:00.000;1d74162371d96cb871de85ab5b050a25;4.076.347;-122.541.671;0
1075;2019-01-04T15:04:15.000;Hills-Witting;shopping_net;14.31;Issaquah;WA;474.974;-1.220.107;50489;Osteopath;1984-02-29T00:00:00.000;eccfef86426665e878d0f842a5163902;48.363.006;-122.871.238;0
1076;2019-01-04T15:04:57.000;Conroy, Balistreri and Gorczany;health_fitness;29.32;Scotts Mills;OR;449.897;-1.226.187;1252;Engineer, petroleum;1937-02-06T00:00:00.000;7598d976badb7ac2807e4c8830f0b110;45.899.586;-122.694.835;0
1077;2019-01-04T15:06:38.000;Predovic Inc;shopping_net;966.11;Wales;AK;647.556;-1.656.723;145;Administrator, education;1939-11-09T00:00:00.000;a59185fe1b9ccf21323f581d7477573f;65.468.863;-165.473.127;1
1078;2019-01-04T15:08:41.000;Feil, Hilpert and Koss;food_dining;9.03;Lakeport;CA;39.047;-1.229.328;11256;Podiatrist;1972-10-18T00:00:00.000;ad03fa90a0e57460379026675c32642c;38.108.471;-122.386.039;0
1079;2019-01-04T15:09:21.000;Roberts-Beahan;misc_pos;5.01;Espanola;NM;359.866;-1.060.654;18408;Historic buildings inspector/conservation officer;1972-07-18T00:00:00.000;c4241e3996c18b6f46c8ba5ee246ed0c;36.019.163;-106.072.795;0
1080;2019-01-04T15:10:21.000;Wuckert-Goldne;home;125.64;Lowell;OR;43.921;-1.227.806;1420;Systems analyst;1965-11-11T00:00:00.000;bdab091861b4d21c8d1d88009efa59b1;43.911.697;-122.997.669;0
1081;2019-01-04T15:12:01.000;Effertz, Welch and Schowalte;entertainment;70.36;Fiddletown;CA;385.234;-1.206.763;832;Immigration officer;1987-05-19T00:00:00.000;9f00699d6bdcac8d2fae9d4c40f3e28a;38.224.537;-120.641.298;0
1082;2019-01-04T15:17:34.000;Swift PLC;kids_pets;9;Kent;OR;450.838;-1.206.649;60;Museum education officer;1942-04-03T00:00:00.000;5d15397da94e5b348d53d117bfbac028;45.886.009;-119.824.687;0
1083;2019-01-04T15:17:35.000;Lesch, D'Amore and Brown;food_dining;34.06;Littleton;CO;395.994;-1.050.044;320420;Water engineer;1975-07-31T00:00:00.000;8028cf7d3c83ba695df7df77624c09f5;3.909.891;-10.492.592;0
1084;2019-01-04T15:19:50.000;Hammes-Beatty;kids_pets;36.36;Sixes;OR;42.825;-1.244.409;217;Retail merchandiser;1928-10-01T00:00:00.000;7841f46ec78304512961fe032f7b1e60;42.884.533;-124.050.522;0
1085;2019-01-04T15:21:27.000;Boyer-Reichert;shopping_net;2.11;Oakland;CA;377.878;-1.221.884;381459;Barista;1974-01-03T00:00:00.000;62fe6e9c9c64bd4f569f988eaf33a5ea;37.253.245;-121.380.198;0
1086;2019-01-04T15:27:03.000;Welch, Rath and Koepp;entertainment;25.49;Cascade Locks;OR;45.671;-1.218.686;1288;Barrister;1936-05-01T00:00:00.000;1f4a0527e804ff8c82519860138c3ab6;46.537.095;-121.878.528;0
1087;2019-01-04T15:33:03.000;Gaylord-Powlowski;home;94.03;Moab;UT;385.677;-1.095.271;9772;Location manager;1989-11-24T00:00:00.000;d1017a2d01eccdd326b14192479aa979;39.165.024;-110.052.468;0
1088;2019-01-04T15:38:12.000;Heathcote, Yost and Kertzmann;shopping_net;9.05;Kirtland Afb;NM;350.203;-1.065.503;310;Surveyor, land/geomatics;1978-09-30T00:00:00.000;fcada24a76b0eb03dc1e4d6dce1601bc;34.801.342;-105.727.551;0
1089;2019-01-04T15:40:06.000;Nader-Maggio;personal_care;57.62;Issaquah;WA;474.974;-1.220.107;50489;Osteopath;1984-02-29T00:00:00.000;6ab4bab0e7430a899dbb10d4b0e6f553;48.081.151;-122.427.199;0
1090;2019-01-04T15:45:16.000;Metz, Russel and Metz;kids_pets;10.1;Westerville;NE;414.193;-993.844;73;Product designer;1935-02-10T00:00:00.000;a937d87e7b6106ad35d5ccc8e206060a;41.177.042;-98.909.558;0
1091;2019-01-04T15:46:04.000;Haley, Batz and Aue;health_fitness;138.28;American Fork;UT;403.928;-1.117.941;42384;Futures trader;1992-12-29T00:00:00.000;fbdeca8d96912c6e374ec1c817695bf4;40.856.947;-111.685.475;0
1092;2019-01-04T15:49:09.000;Friesen-Ortiz;personal_care;87.29;Roseland;NE;404.591;-985.551;463;Nurse, mental health;1948-05-31T00:00:00.000;4adb474d483cfc770c9027f9791303d6;41.012.213;-99.281.249;0
1093;2019-01-04T16:05:30.000;Schroeder, Hauck and Treutel;entertainment;50.94;Weeping Water;NE;408.731;-961.528;1517;Dealer;1951-11-08T00:00:00.000;8c58eda9fd922fc09dd1262d465ddc2f;40.117.774;-96.639.451;0
1094;2019-01-04T16:12:27.000;Wiza, Schaden and Stark;misc_pos;3.64;Wheaton;MO;367.651;-940.492;760;Production manager;1985-08-31T00:00:00.000;4edb1602230ba1f0ec816e5e83876072;37.397.446;-94.971.054;0
1095;2019-01-04T16:16:18.000;Bode-Schuste;kids_pets;34.38;San Jose;CA;373.304;-1.217.913;973849;Geoscientist;1997-01-18T00:00:00.000;5b63041128f3be91b82554f9384f5e50;38.150.906;-121.878.503;0
1096;2019-01-04T16:16:33.000;Fadel-Hilpert;health_fitness;74.72;Fiddletown;CA;385.234;-1.206.763;832;Immigration officer;1987-05-19T00:00:00.000;89848d813b35efb587dc217b1f8340af;38.282.037;-121.463.357;0
1097;2019-01-04T16:16:47.000;Reilly and Sons;health_fitness;41.57;Albuquerque;NM;350.561;-1.065.506;641349;Charity officer;1967-01-24T00:00:00.000;44b929bd99035d187e5a8f7d146634e3;35.777.608;-107.434.029;0
1098;2019-01-04T16:25:24.000;Kulas Group;health_fitness;73.02;Norwalk;CA;339.056;-1.180.818;105549;Firefighter;1973-09-22T00:00:00.000;518f38d85b846c7fa02b24057347b13e;34.406.378;-118.414.331;0
1099;2019-01-04T16:31:19.000;Kling, Howe and Schneide;home;63.66;Newhall;CA;343.795;-118.523;34882;Health physicist;1971-04-25T00:00:00.000;ce819a89e5bfc17ee3efbc4c5825dcbc;34.116.464;-118.235.066;0
1100;2019-01-04T16:36:12.000;Kihn-Schuste;food_dining;58.28;Fort Washakie;WY;430.048;-1.088.964;1645;Freight forwarder;1976-02-26T00:00:00.000;0f2966d6dda51c01e83357091935be3c;43.305.673;-108.300.676;0
1101;2019-01-04T16:39:30.000;Mosciski, Ziemann and Farrell;shopping_net;1.68;Shedd;OR;44.453;-1.231.065;917;Radio broadcast assistant;1995-07-08T00:00:00.000;8900890ff123bd3d5c4317eaaf0de12d;44.042.212;-122.436.837;0
1102;2019-01-04T16:41:35.000;O'Connell-Ullrich;home;11.11;Wendel;CA;403.406;-1.202.824;104;Teacher, adult education;1989-08-16T00:00:00.000;3ea095ab156f65fb18199cbcaabc6ace;40.729.361;-120.891.232;0
1103;2019-01-04T16:43:07.000;Terry-Huel;shopping_net;5.81;Crownpoint;NM;357.206;-1.080.271;5662;IT consultant;1989-04-08T00:00:00.000;52d3dcd82b26945f42826f5a0b5d0d11;35.831.255;-10.882.041;0
1104;2019-01-04T16:45:39.000;Berge-Ullrich;home;101.89;Paradise Valley;AZ;335.494;-1.119.565;17047;Building surveyor;1935-01-29T00:00:00.000;407852abb5e109f094e74c56b4d9301b;34.324.848;-111.999.257;0
1105;2019-01-04T16:47:24.000;Kub-Heaney;health_fitness;49.22;Arnold;MO;384.305;-90.387;35439;Land/geomatics surveyor;1985-03-31T00:00:00.000;a47d6e3776c262c6d11de7c44ba31e86;37.882.137;-90.025.619;0
1106;2019-01-04T16:48:28.000;Pouros-Haag;shopping_pos;3.11;Manville;WY;42.73;-1.047.024;241;Educational psychologist;1980-12-16T00:00:00.000;db47f0a13b39c423f9ecacaefa53e224;43.001.415;-10.464.828;0
1107;2019-01-04T16:50:20.000;Gleason and Sons;kids_pets;70.8;Superior;AZ;332.887;-1.110.985;2872;Petroleum engineer;1987-10-28T00:00:00.000;c0bcda7249847d1687eb6c314eb58e07;33.508.757;-110.157.573;0
1108;2019-01-04T16:57:36.000;Crist, Jakubowski and Littel;home;75.58;Fort Washakie;WY;430.048;-1.088.964;1645;Freight forwarder;1976-02-26T00:00:00.000;5b625415df7970a5b8845132b12ae05c;42.424.651;-109.464.018;0
1109;2019-01-04T17:07:14.000;Kris-Padberg;shopping_pos;2.74;Altonah;UT;403.207;-110.436;302;Sales professional, IT;1990-01-17T00:00:00.000;d12b4bfc5a37cb4ee1cd28515811ca52;40.469.118;-111.367.562;0
1110;2019-01-04T17:07:30.000;Romaguera Lt;health_fitness;54.59;Kansas City;MO;389.621;-945.959;545147;Counsellor;1987-11-18T00:00:00.000;46ea691b9c44aaa87f0772a7386e7a23;39.447.937;-95.500.048;0
1111;2019-01-04T17:07:42.000;O'Connell-Ullrich;home;50.35;Rocky Mount;MO;382.911;-927.059;1847;Tax inspector;1988-10-26T00:00:00.000;d8c293255b54e87014b9826f0d3383b6;37.958.362;-9.324.242;0
1112;2019-01-04T17:12:03.000;Streich Lt;home;46.06;Sutherland;NE;411.558;-101.136;1789;Insurance broker;1982-02-11T00:00:00.000;776d3725fea5612f1db1604b75b9fa87;41.411.727;-101.313.796;0
1113;2019-01-04T17:12:25.000;Hahn, Bahringer and McLaughlin;personal_care;8;Matthews;MO;367.154;-896.287;1019;Aeronautical engineer;1979-01-26T00:00:00.000;e2e5715174b4978b6dc3d78aa9c80b27;3.698.024;-89.069.913;0
1114;2019-01-04T17:20:00.000;Swaniawski, Nitzsche and Welch;health_fitness;58.41;Redford;MO;373.272;-910.243;241;Investment analyst;1974-10-27T00:00:00.000;caabfaa1998269403534bdde76c2ff0a;37.201.183;-91.379.688;0
1115;2019-01-04T17:28:59.000;Koss, Hansen and Lueilwitz;home;31.71;Humboldt;AZ;345.189;-1.122.523;1179;Civil engineer, contracting;1955-01-20T00:00:00.000;1e7081f61d92acf5a11fb404971c4bb5;34.051.772;-112.111.664;0
1116;2019-01-04T17:32:51.000;Dare-Gibson;health_fitness;10.16;Malad City;ID;421.808;-112.262;4154;Nature conservation officer;1962-01-19T00:00:00.000;086770542ad5c49307f802d8d9eb60cc;41.932.075;-111.459.315;0
1117;2019-01-04T17:35:22.000;Breitenberg-Hermiston;kids_pets;28.05;Camden;MO;392.048;-940.259;464;Colour technologist;1959-05-28T00:00:00.000;131cf9550b13b8e1f98896aee6e5717a;39.057.709;-93.226.474;0
1118;2019-01-04T17:45:56.000;Terry, Johns and Bins;misc_pos;103.77;Burlington;WA;484.786;-1.223.345;14871;Public house manager;1974-03-10T00:00:00.000;dac93a95c639b25c2a6bf556166aa347;47.783.091;-121.793.583;0
1119;2019-01-04T17:51:02.000;Kerluke, Kertzmann and Wiz;misc_net;823.39;Thompson;UT;389.999;-109.615;46;Surveyor, minerals;1987-04-23T00:00:00.000;a19dd8f1ca4d0ad8799ed7845e1fe260;39.831.076;-108.681.553;0
1120;2019-01-04T17:52:29.000;Lind-Buckridge;entertainment;19.98;Ballwin;MO;38.577;-905.255;92608;Engineer, communications;2001-07-26T00:00:00.000;8ef0474ab47b5ae9e6908da59207dd8d;37.620.313;-90.707.304;0
1121;2019-01-04T17:53:03.000;Jast-McDermott;shopping_pos;3.43;Manville;WY;42.73;-1.047.024;241;Educational psychologist;1980-12-16T00:00:00.000;2e3f879b6100c6b6e8e6a7fce9a1b1ac;42.247.842;-105.435.286;0
1122;2019-01-04T17:58:31.000;Fadel, Mertz and Rippin;entertainment;69.55;Moab;UT;385.677;-1.095.271;9772;Location manager;1989-11-24T00:00:00.000;0e093d42c6e0ef7b224c6ad0ca0d7278;39.224.508;-110.131.517;0
1123;2019-01-04T18:02:56.000;Kessler Inc;travel;6.04;Ruidoso;NM;333.305;-1.056.933;8874;Licensed conveyancer;2000-08-16T00:00:00.000;279ceee287268da087f5ee1b2a268690;33.190.083;-105.092.139;0
1124;2019-01-04T18:04:51.000;Schumm PLC;shopping_net;5.37;Sun City;CA;337.467;-1.171.721;54287;Designer, exhibition/display;1972-09-22T00:00:00.000;8c0b344dcfa47f9dade19c7eddee575e;34.233.526;-117.864.486;0
1125;2019-01-04T18:06:31.000;Schiller Lt;personal_care;12.79;Sutherland;NE;411.558;-101.136;1789;Insurance broker;1982-02-11T00:00:00.000;32b667168753fa5da5b8afb30aed2486;40.907.799;-101.445.631;0
1126;2019-01-04T18:08:21.000;White and Sons;home;42.12;Meridian;ID;436.498;-1.164.306;84106;Intelligence analyst;1971-02-11T00:00:00.000;56d3ab7913fa5e5d0afaa934543b81af;44.050.287;-117.272.141;0
1127;2019-01-04T18:11:25.000;Friesen Lt;health_fitness;118.01;Holstein;NE;404.542;-986.538;331;Telecommunications researcher;1950-08-19T00:00:00.000;02bf132b2bc8149dc1808d4b20647896;39.696.326;-98.411.292;0
1128;2019-01-04T18:12:29.000;Romaguera Lt;health_fitness;36.04;Moriarty;NM;349.889;-1.060.609;7268;Therapist, art;1988-08-04T00:00:00.000;1cfb36e0e5ba68a1b6093d150f9db299;34.697.954;-106.717.925;0
1129;2019-01-04T18:14:03.000;Cummerata-Hilpert;entertainment;160.28;Sun City;CA;337.467;-1.171.721;54287;Designer, exhibition/display;1972-09-22T00:00:00.000;286367ae13978e8df7745a9aaeb8c89b;34.580.904;-11.717.497;0
1130;2019-01-04T18:21:01.000;Gerhold LLC;home;56.61;June Lake;CA;377.773;-1.190.825;633;Health service manager;1927-09-09T00:00:00.000;b04303347021b8951d7ed2f51dbb65a9;38.554.735;-118.389.631;0
1131;2019-01-04T18:22:57.000;Leffler-Goldne;personal_care;185.91;Holstein;NE;404.542;-986.538;331;Telecommunications researcher;1950-08-19T00:00:00.000;dd7b6878930073fd409f73fb860d172f;4.138.326;-98.309.119;0
1132;2019-01-04T18:40:19.000;Kihn, Brakus and Goyette;personal_care;22.01;Altonah;UT;403.207;-110.436;302;Sales professional, IT;1990-01-17T00:00:00.000;32896459f1c80c3d66efdecb853b1a94;40.121.256;-110.764.428;0
1133;2019-01-04T18:51:04.000;Bernier and Sons;kids_pets;49.74;Parks;AZ;352.563;-111.95;759;Geologist, engineering;1957-03-28T00:00:00.000;e273771a2b6691adec5baec96e037a8a;34.434.389;-112.822.496;0
1134;2019-01-04T18:53:15.000;Shanahan-Lehne;personal_care;10.64;Owensville;MO;383.511;-914.867;6703;Naval architect;1998-05-20T00:00:00.000;6687ad86e347f7201a38adbd4bd34a4d;37.466.529;-91.930.501;0
1135;2019-01-04T18:58:34.000;Hammes-Beatty;kids_pets;196;Kansas City;MO;389.621;-945.959;545147;Counsellor;1987-11-18T00:00:00.000;f9b1f0d02f9f3ad80bd2244e7249e727;39.337.226;-9.492.101;0
1136;2019-01-04T19:01:24.000;Fisher-Schowalte;shopping_net;374.42;Laramie;WY;414.247;-1.054.781;35371;Pilot, airline;1988-09-02T00:00:00.000;3aa8c877302aecad1bcdaf7116cc68c4;4.059.941;-105.390.799;0
1137;2019-01-04T19:01:27.000;Pfeffer and Sons;shopping_pos;107.02;Norwalk;CA;339.056;-1.180.818;105549;Firefighter;1973-09-22T00:00:00.000;fcec10fffa32f113a30ae209ccf78ac6;33.149.609;-118.763.554;0
1138;2019-01-04T19:02:39.000;Shanahan-Lehne;personal_care;105.64;Burlington;WA;484.786;-1.223.345;14871;Public house manager;1974-03-10T00:00:00.000;700de37171cf31d9eff804622eb8358e;47.910.297;-12.251.806;0
1139;2019-01-04T19:07:08.000;Lind-Buckridge;entertainment;5.76;Newberg;OR;453.099;-1.229.685;28278;Research scientist (physical sciences);1977-07-17T00:00:00.000;addf5a659783b19dfc142cf860843752;44.648.809;-122.498.577;0
1140;2019-01-04T19:08:58.000;Beer-Jast;kids_pets;46.64;Athena;OR;458.289;-1.184.971;1302;Dealer;1976-10-18T00:00:00.000;96908438bcbf6b7dd750877d8f217f4e;45.629.538;-118.712.898;0
1141;2019-01-04T19:15:29.000;Kihn Inc;shopping_pos;2.37;Redford;MO;373.272;-910.243;241;Investment analyst;1974-10-27T00:00:00.000;88c7432c99f9c6ad16d0fc77de6f4f2d;38.196.095;-91.438.926;0
1142;2019-01-04T19:19:35.000;Nienow, Barrows and Romague;personal_care;67.67;Huntington Beach;CA;336.773;-1.180.051;190249;Therapist, horticultural;1976-09-17T00:00:00.000;e809c7fd25e0187944d98beb64c0c37a;34.126.355;-118.607.936;0
1143;2019-01-04T19:28:33.000;Terry-Huel;shopping_net;4.62;Littleton;CO;395.994;-1.050.044;320420;Water engineer;1975-07-31T00:00:00.000;a5a36ccb383b6d276f89ebbedc041cfd;39.440.745;-10.488.044;0
